,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
3343,Private room,3,1.0,1.0,1.0,Real Bed,89.0,800.0,290.0,65.0,2,50.0,1,26,56,86,361,3.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible
3344,Entire home/apt,3,1.0,1.0,1.0,Real Bed,175.0,1100.0,290.0,65.0,1,0.0,3,6,36,66,341,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3345,Entire home/apt,4,1.0,2.0,2.0,Real Bed,135.0,800.0,300.0,100.0,1,0.0,2,28,50,80,80,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3346,Entire home/apt,6,1.0,2.0,2.0,Real Bed,150.0,1000.0,290.0,25.0,1,0.0,1,17,47,77,352,7.0,90.0,10.0,10.0,10.0,10.0,10.0,9.0,0,flexible
3348,Entire home/apt,4,1.0,1.0,1.0,Real Bed,280.0,800.0,290.0,65.0,1,0.0,1,21,51,81,320,6.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3349,Entire home/apt,6,2.5,3.0,3.0,Real Bed,287.0,800.0,290.0,135.0,1,0.0,2,22,37,62,302,10.0,85.0,9.0,10.0,10.0,9.0,9.0,9.0,0,strict
3352,Entire home/apt,4,1.0,2.0,3.0,Real Bed,250.0,800.0,250.0,65.0,4,25.0,2,28,58,88,353,9.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3354,Entire home/apt,10,2.0,4.0,8.0,Real Bed,495.0,800.0,200.0,65.0,10,0.0,5,0,0,0,15,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3355,Entire home/apt,4,1.0,2.0,1.0,Real Bed,185.0,1095.0,290.0,65.0,1,0.0,2,0,5,35,35,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3357,Entire home/apt,5,1.0,1.0,2.0,Real Bed,169.0,800.0,500.0,75.0,2,25.0,3,0,0,0,167,14.0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,0,strict
3358,Entire home/apt,7,2.5,2.0,3.0,Real Bed,300.0,800.0,290.0,75.0,1,0.0,2,30,60,90,365,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3359,Entire home/apt,4,1.0,2.0,2.0,Real Bed,199.0,999.0,100.0,150.0,1,0.0,1,0,0,0,12,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3361,Entire home/apt,6,0.5,3.0,6.0,Real Bed,500.0,800.0,290.0,80.0,1,0.0,2,30,60,90,365,7.0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,0,flexible
3362,Entire home/apt,4,1.0,1.0,2.0,Real Bed,95.0,595.0,300.0,50.0,1,0.0,1,27,57,87,359,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3363,Entire home/apt,16,6.0,10.0,16.0,Real Bed,500.0,800.0,3000.0,300.0,1,0.0,1,0,0,0,16,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3365,Entire home/apt,8,3.0,3.0,4.0,Real Bed,700.0,800.0,290.0,140.0,1,0.0,2,24,43,66,337,0.0,80.0,10.0,8.0,10.0,10.0,8.0,8.0,0,strict
3366,Entire home/apt,6,2.0,2.0,2.0,Real Bed,171.0,800.0,290.0,115.0,0,0.0,2,0,0,0,26,31.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict
3367,Entire home/apt,5,2.5,3.0,3.0,Real Bed,850.0,800.0,1000.0,150.0,4,100.0,2,25,55,85,355,5.0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0,moderate
